ID,Order,Family,Genus,Scientific name,Label,sub-label,Italicise sub-label?,Description,license link,license,thumb,pic1,cred1,pic2,cred2,pic3,cred3,pic4,cred4,pic5,cred5,pic6,cred6,Extra search
001,Blattodea,Blaberidae,Laxta,Laxta granicollis,Bark cockroach,Laxta granicollis,y,"These cockroaches are difficult to spot, with brown, flattened bodies that blend in well with bark. Females are wingless, while males are winged. Both sexes live under bark, where they feed on decaying wood. ",http://creativecommons.org/licenses/by-nc/3.0/au/,CC BY-NC 3.0,thumb_001.jpg,img_001a.jpg,M. Campbell,img_001b.jpg,S. Jones,na,na,na,na,na,na,na,na,na
002,Blattodea,Blaberidae,Panesthia,Panesthia australis,Australian woodland cockroach,Panesthia australis,y,"This species is one of Australia's larger cockroaches, and often found in the damp soil beneath rotting logs. Members of this genus are easily recognized by their large, spiny legs. ",http://creativecommons.org/licenses/by-nc/3.0/au/,CC BY-NC 3.0,thumb_002.jpg,img_002a.jpg,K. Walker,na,na,na,na,na,na,na,na,na,na,na
003,Blattodea,Blattidae,Platyzosteria,Platyzosteria melanaria,Black woodland cockroach,Platyzosteria melanaria,y,"These large, glossy, wingless cockroaches are often found in fallen tree back and leaf litter. ",http://creativecommons.org/licenses/by-nc/3.0/au/,CC BY-NC 3.0,thumb_003.jpg,img_003a.jpg,S. Jones,na,na,na,na,na,na,na,na,na,na,na
004,Blattodea,Blattidae,Polyzosteria,Polyzosteria viridissima,Alpine metallic cockroach,Polyzosteria viridissima,y,This shimmering green flightless cockroach is one of the most charismatic insects of the Australian Alps. Both sexes of this species are wingless. ,na,na,thumb_004.jpg,img_004a.jpg,K. Umbers,img_004b.jpg,R. Slatyer,img_004c.jpg,K. Umbers,na,na,na,na,na,na,na
005,Coleoptera,Belidae,Rhinotia,na,Primitive weevils,Rhinotia,y,"The genus <i>Rhinotia</i> and other belid weevils are called ""primitive"" because they lack the elbowed antennae and other specialized features of the ""higher"" weevils. <i>Rhinotia</i> is easily recognized by its long, narrow, pointed body with vivid white stripes along the underside.",na,na,thumb_005.jpg,img_005a.jpg,K. Umbers,na,na,na,na,na,na,na,na,na,na,na
006,Coleoptera,Buprestidae,Castiarina,na,Jewel beetles,Castiarina,y,"Like other species in the family Buprestidae, these large beetles are brightly coloured and can often be seen perching on leaves. These beetles are also known as ""borers"" for their laval habit of boring tunnels through the sapwood of trees and shrubs.",na,na,thumb_006.jpg,img_006a.jpg,M. Nash,na,na,na,na,na,na,na,na,na,na,na
007,Coleoptera,Cantharidae,Chauliognathus,Chauliognathus lugubris,Plague soldier beetle,Chauliognathus lugubris,y,"This striking green-and-yellow beetle is most often spotted in the early spring, when mating pairs appear in vast swarms on buildings, vegetation, and other surfaces throughout Southeastern Australia. Despite its name, the soldier beetle does not bite; it does, however, exude a foul-tasting defensive chemical when threatened. ",na,na,thumb_007.jpg,img_007a.jpg,K. Harvey,img_007b.jpg,M. Nash,na,na,na,na,na,na,na,na,na
008,Coleoptera,Carabidae,Percolestus,Percolestus blackburni,Ground beetle,Percolestus blackburni,y,"Like other members of the family Carabidae, these large, black beetles are fast-moving predators of other small arthropods. As their name suggests, ground beetles can often be found on or in the soil, usually under stones or logs. ",na,na,thumb_008.jpg,img_008a.jpg,M. Nash,na,na,na,na,na,na,na,na,na,na,na
009,Coleoptera,Carabidae,Pseudagonica,na,Shining ground beetles,Pseudagonica,y,"These small, extremely glossy black beetles are predatory and often found in damp leaf litter at high elevations throughout New South Wales and Victoria. ",http://creativecommons.org/licenses/by-nc/3.0/au/,CC BY-NC 3.0,thumb_009.jpg,img_009a.jpg,N. Porch,na,na,na,na,na,na,na,na,na,na,na
010,Coleoptera,Chrysomelidae,Paropsis,na,Eucalyptus leaf beetles,Paropsis,y,"New South Wales is home to many species of these large, dome-shaped leaf beetles. Paropsines, like all leaf beetles, can be recognized by their wide, flattened feet (for gripping leaf surfaces) and prominent, jellybean-shaped eyes. All <i>Paropsis</i> species feed exclusively on eucalyptus leaves. ",na,na,thumb_010.jpg,img_010a.jpg,K. Umbers,img_010b.jpg,K. Umbers,na,na,na,na,na,na,na,na,na
012,Coleoptera,Coccinellidae,na,na,Ladybird beetles,Family Coccinellidae,n,"The most frequently spotted ladybird beetles are members of the subfamily Coccinellinae, which are typically medium-sized and dome-shaped, with bright red, black, and/or yellow colouration. These ""warning colours"" tell predators that the beetles are noxious and foul-tasting. ",na,na,thumb_012.jpg,img_012a.jpg,K. Umbers,na,na,na,na,na,na,na,na,na,na,na
013,Coleoptera,Curculionidae,Adelognatha,na,Broad-nosed weevils,Adelognatha,y,"Most broad-nosed weevils can be recognized, as their name suggests, by the wide rostrum, elbowed antennae, and scale-covered bodies. Members of the genus <i>Adelognatha</i> are particularly large and slow-moving, and usually found near vegetation. ",na,na,thumb_013.jpg,img_013a.jpg,K. Umbers,img_013b.jpg,R. Slatyer,na,na,na,na,na,na,na,na,na
014,Coleoptera,Elateridae,na,na,Click beetles,Family Elateridae,n,"These long, oval-shaped beetles superficially resemble jewel beetles (family Buprestidae) but can be recognized by their ability to flip or jump by ""clicking"" a special joint in their thorax. ",na,na,thumb_014.jpg,img_014a.jpg,K. Umbers,na,na,na,na,na,na,na,na,na,na,na
